SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
26,AR,Arunachal Pradesh,AR_Longding,Longding,250,0,250,0,0,0,0,0,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,475,0,475,0,0,0,0,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,287,0,287,0,0,0,0,0,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,381,0,380,1,0,0,0,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,434,0,430,4,0,0,0,0,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,132,0,132,0,0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,6779,0,6750,29,0,0,0,0,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,104,0,104,0,0,0,0,0,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,133,0,132,1,0,0,0,0,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,492,0,490,2,0,0,0,0,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,589,2,585,2,0,0,0,0,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,23,0,23,0,0,0,0,0,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,361,0,361,0,0,0,0,0,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,441,0,439,2,0,0,0,0,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,950,0,946,4,0,0,0,0,0,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,1030,0,1027,3,0,0,0,0,0,,
0,AS,Assam,AS_Airport Quarantine,Airport Quarantine,13,0,13,0,0,0,0,0,0,,
42,AS,Assam,AS_Baksa,Baksa,687,233,447,7,0,0,0,0,0,,
43,AS,Assam,AS_Barpeta,Barpeta,1121,84,1024,13,0,0,0,0,0,,
44,AS,Assam,AS_Biswanath,Biswanath,474,87,379,8,0,0,0,0,0,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,1303,462,834,7,0,0,0,0,0,,
46,AS,Assam,AS_Cachar,Cachar,6242,4701,1498,43,0,0,0,0,0,,
47,AS,Assam,AS_Charaideo,Charaideo,116,0,105,11,0,0,0,0,0,,
48,AS,Assam,AS_Chirang,Chirang,280,53,219,8,0,0,0,0,0,,
49,AS,Assam,AS_Darrang,Darrang,1967,219,1730,18,0,0,0,0,0,,
50,AS,Assam,AS_Dhemaji,Dhemaji,765,317,440,8,0,0,0,0,0,,
51,AS,Assam,AS_Dhubri,Dhubri,1723,496,1215,12,0,0,0,0,0,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,9597,7086,2409,102,0,0,0,0,0,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,241,40,199,2,0,0,0,0,0,,
54,AS,Assam,AS_Goalpara,Goalpara,665,38,568,10,0,0,0,0,0,,
55,AS,Assam,AS_Golaghat,Golaghat,3809,2107,1656,46,0,0,0,0,0,,
56,AS,Assam,AS_Hailakandi,Hailakandi,1634,511,1116,7,0,0,0,0,0,,
57,AS,Assam,AS_Hojai,Hojai,1646,472,1160,14,0,0,0,0,0,,
58,AS,Assam,AS_Jorhat,Jorhat,8782,6976,1752,54,0,0,0,0,0,,
59,AS,Assam,AS_Kamrup,Kamrup,4593,2484,2074,35,0,0,0,0,0,,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,50674,35152,15370,152,0,0,0,0,0,,
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,632,69,552,11,0,0,0,0,0,,
62,AS,Assam,AS_Karimganj,Karimganj,1206,225,955,26,0,0,0,0,0,,
63,AS,Assam,AS_Kokrajhar,Kokrajhar,421,56,353,12,0,0,0,0,0,,
64,AS,Assam,AS_Lakhimpur,Lakhimpur,3006,1847,1135,24,0,0,0,0,0,,
65,AS,Assam,AS_Majuli,Majuli,165,79,80,6,0,0,0,0,0,,
66,AS,Assam,AS_Morigaon,Morigaon,638,72,557,9,0,0,0,0,0,,
67,AS,Assam,AS_Nagaon,Nagaon,4534,2002,2506,26,0,0,0,0,0,,
68,AS,Assam,AS_Nalbari,Nalbari,950,105,828,17,0,0,0,0,0,,
0,AS,Assam,AS_Other State,Other State,1,0,1,0,0,0,0,0,0,,
69,AS,Assam,AS_Sivasagar,Sivasagar,529,21,473,35,0,0,0,0,0,,
70,AS,Assam,AS_Sonitpur,Sonitpur,2560,814,1727,19,0,0,0,0,0,,
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,53,5,47,1,0,0,0,0,0,,
72,AS,Assam,AS_Tinsukia,Tinsukia,3423,1582,1798,43,0,0,0,0,0,,
73,AS,Assam,AS_Udalguri,Udalguri,758,84,666,8,0,0,0,0,0,,
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,39,1,37,1,0,0,0,0,0,,
75,BR,Bihar,BR_Araria,Araria,7267,9,7236,22,0,0,0,0,0,,
76,BR,Bihar,BR_Arwal,Arwal,2429,0,2417,12,0,0,0,0,0,,
77,BR,Bihar,BR_Aurangabad,Aurangabad,5568,8,5544,16,0,0,0,0,0,,
78,BR,Bihar,BR_Banka,Banka,3612,0,3592,20,0,0,0,0,0,,
79,BR,Bihar,BR_Begusarai,Begusarai,8149,11,8101,37,0,0,0,0,0,,
80,BR,Bihar,BR_Bhagalpur,Bhagalpur,9580,11,9488,81,0,0,0,0,0,,
81,BR,Bihar,BR_Bhojpur,Bhojpur,5121,6,5067,48,0,0,0,0,0,,
82,BR,Bihar,BR_Buxar,Buxar,4026,0,4006,20,0,0,0,0,0,,
83,BR,Bihar,BR_Darbhanga,Darbhanga,4271,5,4227,39,0,0,0,0,0,,
101,BR,Bihar,BR_East Champaran,East Champaran,8464,12,8399,53,0,0,0,0,0,,
84,BR,Bihar,BR_Gaya,Gaya,8119,4,8055,60,0,0,0,0,0,,
85,BR,Bihar,BR_Gopalganj,Gopalganj,5827,0,5812,15,0,0,0,0,0,,
86,BR,Bihar,BR_Jamui,Jamui,3171,3,3158,10,0,0,0,0,0,,
87,BR,Bihar,BR_Jehanabad,Jehanabad,4597,1,4571,25,0,0,0,0,0,,
88,BR,Bihar,BR_Kaimur,Kaimur,2271,2,2259,10,0,0,0,0,0,,
89,BR,Bihar,BR_Katihar,Katihar,7239,8,7219,12,0,0,0,0,0,,
90,BR,Bihar,BR_Khagaria,Khagaria,3145,2,3129,14,0,0,0,0,0,,
91,BR,Bihar,BR_Kishanganj,Kishanganj,4322,3,4306,13,0,0,0,0,0,,
92,BR,Bihar,BR_Lakhisarai,Lakhisarai,3860,4,3847,9,0,0,0,0,0,,
93,BR,Bihar,BR_Madhepura,Madhepura,4881,0,4864,17,0,0,0,0,0,,
94,BR,Bihar,BR_Madhubani,Madhubani,7750,6,7710,34,0,0,0,0,0,,
95,BR,Bihar,BR_Munger,Munger,4271,4,4211,56,0,0,0,0,0,,
96,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,11957,9,11897,51,0,0,0,0,0,,
97,BR,Bihar,BR_Nalanda,Nalanda,8362,11,8292,59,0,0,0,0,0,,
98,BR,Bihar,BR_Nawada,Nawada,4318,17,4276,25,0,0,0,0,0,,
100,BR,Bihar,BR_Patna,Patna,52831,142,52246,443,0,0,0,0,0,,
102,BR,Bihar,BR_Purnia,Purnia,9437,13,9399,25,0,0,0,0,0,,
103,BR,Bihar,BR_Rohtas,Rohtas,6857,5,6807,45,0,0,0,0,0,,
104,BR,Bihar,BR_Saharsa,Saharsa,6864,0,6852,12,0,0,0,0,0,,
105,BR,Bihar,BR_Samastipur,Samastipur,5344,9,5300,35,0,0,0,0,0,,
106,BR,Bihar,BR_Saran,Saran,7453,19,7369,65,0,0,0,0,0,,
107,BR,Bihar,BR_Sheikhpura,Sheikhpura,2999,0,2986,13,0,0,0,0,0,,
108,BR,Bihar,BR_Sheohar,Sheohar,1547,0,1546,1,0,0,0,0,0,,
109,BR,Bihar,BR_Sitamarhi,Sitamarhi,4478,1,4460,17,0,0,0,0,0,,
110,BR,Bihar,BR_Siwan,Siwan,4822,3,4783,36,0,0,0,0,0,,
111,BR,Bihar,BR_Supaul,Supaul,5637,1,5617,19,0,0,0,0,0,,
112,BR,Bihar,BR_Vaishali,Vaishali,5672,23,5599,49,1,0,0,0,0,,
99,BR,Bihar,BR_West Champaran,West Champaran,6079,16,6040,23,0,0,0,0,0,,
113,CH,Chandigarh,CH_Chandigarh,Chandigarh,21833,462,21019,352,0,0,0,0,0,,
0,CT,Chhattisgarh,CT_Other State,Other State,480,21,395,64,0,0,0,0,0,,
114,CT,Chhattisgarh,CT_Balod,Balod,9872,27,9743,102,0,0,0,0,0,,
115,CT,Chhattisgarh,CT_Baloda Bazar,Baloda Bazar,10119,45,9925,149,0,0,0,0,0,,
116,CT,Chhattisgarh,CT_Balrampur,Balrampur,3786,41,3728,17,0,0,0,0,0,,
117,CT,Chhattisgarh,CT_Bametara,Bametara,5099,36,5001,62,0,0,0,0,0,,
118,CT,Chhattisgarh,CT_Bastar,Bastar,9134,42,9001,91,0,0,0,0,0,,
119,CT,Chhattisgarh,CT_Bijapur,Bijapur,4121,5,4088,28,0,0,0,0,0,,
120,CT,Chhattisgarh,CT_Bilaspur,Bilaspur,21780,189,21374,217,0,0,0,0,0,,
121,CT,Chhattisgarh,CT_Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,6121,25,6079,17,0,0,0,0,0,,
122,CT,Chhattisgarh,CT_Dhamtari,Dhamtari,8427,69,8225,133,0,0,0,0,0,,
123,CT,Chhattisgarh,CT_Durg,Durg,27974,736,26595,643,0,0,0,0,0,,
124,CT,Chhattisgarh,CT_Gariaband,Gariaband,4721,31,4634,56,0,0,0,0,0,,
125,CT,Chhattisgarh,CT_Janjgir Champa,Janjgir Champa,20676,27,20408,241,0,0,0,0,0,,
126,CT,Chhattisgarh,CT_Jashpur,Jashpur,4145,84,4026,35,0,0,0,0,0,,
127,CT,Chhattisgarh,CT_Kabeerdham,Kabeerdham,5986,20,5893,73,0,0,0,0,0,,
128,CT,Chhattisgarh,CT_Kondagaon,Kondagaon,5292,11,5247,34,0,0,0,0,0,,
129,CT,Chhattisgarh,CT_Korba,Korba,17111,89,16894,128,0,0,0,0,0,,
130,CT,Chhattisgarh,CT_Koriya,Koriya,5512,90,5384,38,0,0,0,0,0,,
131,CT,Chhattisgarh,CT_Mahasamund,Mahasamund,9529,13,9368,148,0,0,0,0,0,,
132,CT,Chhattisgarh,CT_Mungeli,Mungeli,4143,19,4095,29,0,0,0,0,0,,
133,CT,Chhattisgarh,CT_Narayanpur,Narayanpur,1970,3,1965,2,0,0,0,0,0,,
134,CT,Chhattisgarh,CT_Raigarh,Raigarh,24203,137,23748,318,0,0,0,0,0,,
135,CT,Chhattisgarh,CT_Raipur,Raipur,55717,858,54052,807,0,0,0,0,0,,
136,CT,Chhattisgarh,CT_Rajnandgaon,Rajnandgaon,19964,87,19690,187,0,0,0,0,0,,
137,CT,Chhattisgarh,CT_Sukma,Sukma,4015,0,4005,10,0,0,0,0,0,,
138,CT,Chhattisgarh,CT_Surajpur,Surajpur,6546,32,6466,48,0,0,0,0,0,,
139,CT,Chhattisgarh,CT_Surguja,Surguja,8355,60,8202,93,0,0,0,0,0,,
140,CT,Chhattisgarh,CT_Uttar Bastar Kanker,Uttar Bastar Kanker,6719,26,6629,64,0,0,0,0,0,,
766,CT,Chhattisgarh,CT_Gaurela Pendra Marwahi,Gaurela Pendra Marwahi,1515,13,1492,10,0,0,0,0,0,,
144,DL,Delhi,DL_Central Delhi,Central Delhi,184,184,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
145,DL,Delhi,DL_East Delhi,East Delhi,38,38,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
146,DL,Delhi,DL_New Delhi,New Delhi,37,37,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
147,DL,Delhi,DL_North Delhi,North Delhi,60,60,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
148,DL,Delhi,DL_North East Delhi,North East Delhi,25,25,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
149,DL,Delhi,DL_North West Delhi,North West Delhi,32,31,0,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
150,DL,Delhi,DL_Shahdara,Shahdara,48,48,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
151,DL,Delhi,DL_South Delhi,South Delhi,70,70,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
152,DL,Delhi,DL_South East Delhi,South East Delhi,130,130,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
153,DL,Delhi,DL_South West Delhi,South West Delhi,42,42,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
154,DL,Delhi,DL_West Delhi,West Delhi,122,122,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Other State,Other State,0,0,0,0,0,0,0,0,0,,
141,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli,Dadra and Nagar Haveli,1659,3,1650,1,5,0,0,0,0,,
142,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Daman,Daman,1419,3,1391,1,24,0,0,0,0,,
143,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Diu,Diu,312,0,312,0,0,0,0,0,0,,
0,GA,Goa,GA_Other State,Other State,200,9,190,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
155,GA,Goa,GA_North Goa,North Goa,2668,1639,964,65,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
156,GA,Goa,GA_South Goa,South Goa,3511,1978,1407,126,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,GJ,Gujarat,GJ_Other State,Other State,162,0,159,3,0,0,0,0,0,,
157,GJ,Gujarat,GJ_Ahmedabad,Ahmedabad,62996,666,60016,2314,0,0,0,0,0,,
158,GJ,Gujarat,GJ_Amreli,Amreli,3966,24,3909,33,0,0,0,0,0,,
159,GJ,Gujarat,GJ_Anand,Anand,2674,46,2611,17,0,0,0,0,0,,
160,GJ,Gujarat,GJ_Aravalli,Aravalli,1221,10,1185,26,0,0,0,0,0,,
161,GJ,Gujarat,GJ_Banaskantha,Banaskantha,4718,4,4675,39,0,0,0,0,0,,
162,GJ,Gujarat,GJ_Bharuch,Bharuch,4202,31,4153,18,0,0,0,0,0,,
163,GJ,Gujarat,GJ_Bhavnagar,Bhavnagar,6174,38,6068,68,0,0,0,0,0,,
164,GJ,Gujarat,GJ_Botad,Botad,1057,9,1034,14,0,0,0,0,0,,
165,GJ,Gujarat,GJ_Chhota Udaipur,Chhota Udaipur,948,20,925,3,0,0,0,0,0,,
167,GJ,Gujarat,GJ_Dahod,Dahod,3362,20,3335,7,0,0,0,0,0,,
187,GJ,Gujarat,GJ_Dang,Dang,184,1,182,1,0,0,0,0,0,,
166,GJ,Gujarat,GJ_Devbhumi Dwarka,Devbhumi Dwarka,1151,28,1118,5,0,0,0,0,0,,
168,GJ,Gujarat,GJ_Gandhinagar,Gandhinagar,8821,49,8665,107,0,0,0,0,0,,
169,GJ,Gujarat,GJ_Gir Somnath,Gir Somnath,2624,35,2565,24,0,0,0,0,0,,
170,GJ,Gujarat,GJ_Jamnagar,Jamnagar,10681,59,10587,35,0,0,0,0,0,,
171,GJ,Gujarat,GJ_Junagadh,Junagadh,5472,40,5399,33,0,0,0,0,0,,
173,GJ,Gujarat,GJ_Kheda,Kheda,3342,32,3293,17,0,0,0,0,0,,
172,GJ,Gujarat,GJ_Kutch,Kutch,4609,82,4494,33,0,0,0,0,0,,
175,GJ,Gujarat,GJ_Mahisagar,Mahisagar,2113,48,2055,10,0,0,0,0,0,,
174,GJ,Gujarat,GJ_Mehsana,Mehsana,7068,34,6996,38,0,0,0,0,0,,
176,GJ,Gujarat,GJ_Morbi,Morbi,3353,16,3318,19,0,0,0,0,0,,
177,GJ,Gujarat,GJ_Narmada,Narmada,2158,22,2135,1,0,0,0,0,0,,
178,GJ,Gujarat,GJ_Navsari,Navsari,1655,10,1637,8,0,0,0,0,0,,
179,GJ,Gujarat,GJ_Panchmahal,Panchmahal,4359,45,4291,23,0,0,0,0,0,,
180,GJ,Gujarat,GJ_Patan,Patan,4254,5,4196,53,0,0,0,0,0,,
181,GJ,Gujarat,GJ_Porbandar,Porbandar,732,2,726,4,0,0,0,0,0,,
182,GJ,Gujarat,GJ_Rajkot,Rajkot,23488,218,23070,200,0,0,0,0,0,,
183,GJ,Gujarat,GJ_Sabarkantha,Sabarkantha,3116,48,3055,13,0,0,0,0,0,,
184,GJ,Gujarat,GJ_Surat,Surat,53969,486,52507,976,0,0,0,0,0,,
185,GJ,Gujarat,GJ_Surendranagar,Surendranagar,3546,5,3528,13,0,0,0,0,0,,
186,GJ,Gujarat,GJ_Tapi,Tapi,1086,5,1074,7,0,0,0,0,0,,
188,GJ,Gujarat,GJ_Vadodara,Vadodara,30083,372,29471,240,0,0,0,0,0,,
189,GJ,Gujarat,GJ_Valsad,Valsad,1426,12,1405,9,0,0,0,0,0,,
212,HP,Himachal Pradesh,HP_Bilaspur,Bilaspur,2964,16,2923,24,1,0,0,0,0,,
213,HP,Himachal Pradesh,HP_Chamba,Chamba,2979,6,2919,52,2,0,0,0,0,One death of COVID-19 positive patient has occured due to non-covid reasons,
214,HP,Himachal Pradesh,HP_Hamirpur,Hamirpur,3057,9,2998,49,1,0,0,0,0,,
215,HP,Himachal Pradesh,HP_Kangra,Kangra,8575,222,8144,207,2,0,0,0,0,Death of Tibetan refugee on March 22 included in Kangra district's tally,
216,HP,Himachal Pradesh,HP_Kinnaur,Kinnaur,1386,8,1362,16,0,0,0,0,0,,
217,HP,Himachal Pradesh,HP_Kullu,Kullu,4450,10,4354,84,2,0,0,0,0,,
218,HP,Himachal Pradesh,HP_Lahaul and Spiti,Lahaul and Spiti,1258,0,1246,12,0,0,0,0,0,,
219,HP,Himachal Pradesh,HP_Mandi,Mandi,10289,16,10148,125,0,0,0,0,0,,
220,HP,Himachal Pradesh,HP_Shimla,Shimla,10496,39,10187,266,4,0,0,0,0,One death of COVID-19 positive patient has occured due to non-covid reasons,
221,HP,Himachal Pradesh,HP_Sirmaur,Sirmaur,3512,24,3457,31,0,0,0,0,0,,
222,HP,Himachal Pradesh,HP_Solan,Solan,6795,34,6688,73,0,0,0,0,0,,
223,HP,Himachal Pradesh,HP_Una,Una,3039,53,2941,44,1,0,0,0,0,,
0,HR,Haryana,HR_Foreign Evacuees,Foreign Evacuees,0,0,0,0,0,0,0,0,0,,
190,HR,Haryana,HR_Ambala,Ambala,12072,122,11805,145,0,0,0,0,0,,
191,HR,Haryana,HR_Bhiwani,Bhiwani,6349,10,6194,145,0,0,0,0,0,,
192,HR,Haryana,HR_Charkhi Dadri,Charkhi Dadri,1523,4,1493,26,0,0,0,0,0,,
193,HR,Haryana,HR_Faridabad,Faridabad,46508,67,46025,416,0,0,0,0,0,,
194,HR,Haryana,HR_Fatehabad,Fatehabad,4741,9,4613,119,0,0,0,0,0,,
195,HR,Haryana,HR_Gurugram,Gurugram,59091,345,58388,358,0,0,0,0,0,,
196,HR,Haryana,HR_Hisar,Hisar,17154,17,16810,327,0,0,0,0,0,,
0,HR,Haryana,HR_Italians,Italians,0,0,0,0,0,0,0,0,0,,
197,HR,Haryana,HR_Jhajjar,Jhajjar,5937,3,5832,102,0,0,0,0,0,,
198,HR,Haryana,HR_Jind,Jind,4937,23,4820,94,0,0,0,0,0,,
199,HR,Haryana,HR_Kaithal,Kaithal,3963,41,3867,55,0,0,0,0,0,,
200,HR,Haryana,HR_Karnal,Karnal,11510,194,11162,154,0,0,0,0,0,,
201,HR,Haryana,HR_Kurukshetra,Kurukshetra,9172,196,8841,135,0,0,0,0,0,,
202,HR,Haryana,HR_Mahendragarh,Mahendragarh,6614,0,6593,21,0,0,0,0,0,,
203,HR,Haryana,HR_Nuh,Nuh,1713,1,1682,30,0,0,0,0,0,,
204,HR,Haryana,HR_Palwal,Palwal,4435,4,4396,35,0,0,0,0,0,,
205,HR,Haryana,HR_Panchkula,Panchkula,10861,133,10579,149,0,0,0,0,0,,
206,HR,Haryana,HR_Panipat,Panipat,10914,83,10677,154,0,0,0,0,0,,
207,HR,Haryana,HR_Rewari,Rewari,11381,0,11305,76,0,0,0,0,0,,
208,HR,Haryana,HR_Rohtak,Rohtak,12313,18,12142,153,0,0,0,0,0,,
209,HR,Haryana,HR_Sirsa,Sirsa,8094,16,7962,116,0,0,0,0,0,,
210,HR,Haryana,HR_Sonipat,Sonipat,14848,3,14759,86,0,0,0,0,0,,
211,HR,Haryana,HR_Yamunanagar,Yamunanagar,6995,59,6780,156,0,0,0,0,0,,
246,JH,Jharkhand,JH_Bokaro,Bokaro,6731,12,6653,66,0,0,0,0,0,,
247,JH,Jharkhand,JH_Chatra,Chatra,1432,4,1417,11,0,0,0,0,0,,
248,JH,Jharkhand,JH_Deoghar,Deoghar,3693,11,3659,23,0,0,0,0,0,,
249,JH,Jharkhand,JH_Dhanbad,Dhanbad,7802,7,7679,116,0,0,0,0,0,,
250,JH,Jharkhand,JH_Dumka,Dumka,1415,10,1391,14,0,0,0,0,0,,
264,JH,Jharkhand,JH_East Singhbhum,East Singhbhum,18544,61,18127,356,0,0,0,0,0,,
251,JH,Jharkhand,JH_Garhwa,Garhwa,2831,0,2817,14,0,0,0,0,0,,
252,JH,Jharkhand,JH_Giridih,Giridih,3425,1,3410,14,0,0,0,0,0,,
253,JH,Jharkhand,JH_Godda,Godda,2110,1,2099,10,0,0,0,0,0,,
254,JH,Jharkhand,JH_Gumla,Gumla,2357,25,2326,6,0,0,0,0,0,,
255,JH,Jharkhand,JH_Hazaribagh,Hazaribagh,4446,3,4405,38,0,0,0,0,0,,
256,JH,Jharkhand,JH_Jamtara,Jamtara,1277,4,1269,4,0,0,0,0,0,,
257,JH,Jharkhand,JH_Khunti,Khunti,2149,7,2135,7,0,0,0,0,0,,
258,JH,Jharkhand,JH_Koderma,Koderma,3480,4,3448,28,0,0,0,0,0,,
259,JH,Jharkhand,JH_Latehar,Latehar,1971,12,1952,7,0,0,0,0,0,,
260,JH,Jharkhand,JH_Lohardaga,Lohardaga,1809,24,1775,10,0,0,0,0,0,,
261,JH,Jharkhand,JH_Pakur,Pakur,903,0,901,2,0,0,0,0,0,,
262,JH,Jharkhand,JH_Palamu,Palamu,3640,0,3616,24,0,0,0,0,0,,
265,JH,Jharkhand,JH_Ramgarh,Ramgarh,4537,3,4506,28,0,0,0,0,0,,
266,JH,Jharkhand,JH_Ranchi,Ranchi,33225,291,32688,246,0,0,0,0,0,,
267,JH,Jharkhand,JH_Sahibganj,Sahibganj,1646,0,1637,9,0,0,0,0,0,,
268,JH,Jharkhand,JH_Saraikela-Kharsawan,Saraikela-Kharsawan,3710,12,3686,12,0,0,0,0,0,,
269,JH,Jharkhand,JH_Simdega,Simdega,2061,3,2052,6,0,0,0,0,0,,
263,JH,Jharkhand,JH_West Singhbhum,West Singhbhum,4843,3,4801,39,0,0,0,0,0,,
224,JK,Jammu and Kashmir,JK_Anantnag,Anantnag,5033,41,4905,87,0,0,0,0,0,,
226,JK,Jammu and Kashmir,JK_Bandipora,Bandipora,4719,20,4637,62,0,0,0,0,0,,
227,JK,Jammu and Kashmir,JK_Baramulla,Baramulla,8272,81,8016,175,0,0,0,0,0,,
225,JK,Jammu and Kashmir,JK_Budgam,Budgam,7892,34,7738,120,0,0,0,0,0,,
228,JK,Jammu and Kashmir,JK_Doda,Doda,3438,2,3372,64,0,0,0,0,0,,
229,JK,Jammu and Kashmir,JK_Ganderbal,Ganderbal,4672,13,4612,47,0,0,0,0,0,,
